Traffic,Date,Tag ID,Tag Name,Tag Dimensions,Type,Site,Requests,Opportunities,Impressions,Fill Rate,CPM,Earnings
Combined,2016-06-16,347713,Gravitytales_300_ATF_NoFloor,300x250,DISPLAY,all traffic,1284,0,123,0.10,0.11,0.01
Combined,2016-06-16,357729,Gravitytales_300_Mobile1,300x250,DISPLAY,all traffic,15,0,3,0.20,0.00,0.00
Combined,2016-06-16,358015,Gravitytales_300_Mobile1z,300x250,DISPLAY,all traffic,9,0,2,0.22,0.00,0.00
Combined,2016-06-16,352652,Gravitytales_300_Mobile2,300x250,DISPLAY,all traffic,421801,0,73847,0.18,0.34,24.77
Combined,2016-06-16,362134,Gravitytales_300_Mobile2z,300x250,DISPLAY,all traffic,322568,0,53190,0.16,0.12,6.16
Combined,2016-06-16,359751,Gravitytales_300_Mobile3,300x250,DISPLAY,all traffic,420883,0,67103,0.16,0.31,20.62
Combined,2016-06-16,362137,Gravitytales_300_Mobile3z,300x250,DISPLAY,all traffic,329083,0,55865,0.17,0.12,6.56
Combined,2016-06-16,358045,Gravitytales_728_ATF,728x90,DISPLAY,all traffic,555077,0,79877,0.14,0.47,37.81
Combined,2016-06-16,358046,Gravitytales_728_ATF_NoFloor,728x90,DISPLAY,all traffic,274054,0,50959,0.19,0.07,3.55
Combined,2016-06-16,339886,GravityTales_728_BTF,728x90,DISPLAY,all traffic,486745,0,71298,0.15,0.47,33.63
Combined,2016-06-16,341246,GravityTales_728_BTF_NoFloor,728x90,DISPLAY,all traffic,337282,0,70407,0.21,0.08,5.65
Combined,2016-06-16,337206,heroicnovels.com_300X250,300x250,DISPLAY,all traffic,83,0,11,0.13,0.59,0.01
Combined,2016-06-16,342729,Moonbunnycafe_300,300x250,DISPLAY,all traffic,25516,0,7256,0.28,0.35,2.54
Combined,2016-06-16,342730,Moonbunnycafe_300x600,300x600,DISPLAY,all traffic,26577,0,6688,0.25,0.11,0.71
Combined,2016-06-16,361069,Moonbunnycafe_300_2,300x250,DISPLAY,all traffic,1230,0,58,0.05,0.29,0.02
Combined,2016-06-16,361070,Moonbunnycafe_300_3,300x250,DISPLAY,all traffic,1215,0,71,0.06,0.43,0.03
Combined,2016-06-16,342731,Moonbunnycafe_728,728x90,DISPLAY,all traffic,27970,0,6136,0.22,0.23,1.42
Combined,2016-06-16,361071,Moonbunnycafe_728_2,728x90,DISPLAY,all traffic,1642,0,136,0.08,0.16,0.02
Combined,2016-06-16,361072,Moonbunnycafe_728_3,728x90,DISPLAY,all traffic,1668,0,152,0.09,0.20,0.03
Combined,2016-06-16,339903,PikaTranslations_300x600_BTF1,300x600,DISPLAY,all traffic,2167,0,406,0.19,0.33,0.13
Combined,2016-06-16,339904,PikaTranslations_300x600_BTF2,300x600,DISPLAY,all traffic,2143,0,433,0.20,0.36,0.15
Combined,2016-06-16,339902,PikaTranslations_300_ATF,300x250,DISPLAY,all traffic,2205,0,925,0.42,0.38,0.35
Combined,2016-06-16,339905,PikaTranslations_300_BTF,300x250,DISPLAY,all traffic,2191,0,926,0.42,0.37,0.34
Combined,2016-06-16,340174,ShiroyukiTranslations_300,300x250,DISPLAY,all traffic,137768,0,33260,0.24,0.52,17.31
Combined,2016-06-16,341505,ShiroyukiTranslations_300_NoFloor,300x250,DISPLAY,all traffic,63359,0,26460,0.42,0.11,2.88
Combined,2016-06-16,350857,Subudai11_300,300x250,DISPLAY,all traffic,19372,0,4472,0.23,0.19,0.87
Combined,2016-06-16,339901,TranslationNations_300,300x250,DISPLAY,all traffic,155577,0,53371,0.34,0.58,31.15
Combined,2016-06-16,341243,TranslationNations_300_NoFloor,300x250,DISPLAY,all traffic,43363,0,12969,0.30,0.10,1.31
Combined,2016-06-17,339885,GravityTales_2a_300_BTF,300x250,DISPLAY,all traffic,377034,0,51322,0.14,0.26,13.31
Combined,2016-06-17,341245,GravityTales_2b_300_BTF_NoFloor,300x250,DISPLAY,all traffic,230076,0,55739,0.24,0.13,6.98
Combined,2016-06-17,362446,Gravitytales_300_3,300x250,DISPLAY,all traffic,365923,0,42381,0.12,0.28,12.01
Combined,2016-06-17,362447,Gravitytales_300_3z,300x250,DISPLAY,all traffic,266738,0,42230,0.16,0.10,4.15
Combined,2016-06-17,362462,Gravitytales_300_4,300x250,DISPLAY,all traffic,337678,0,44399,0.13,0.35,15.49
Combined,2016-06-17,362463,Gravitytales_300_4z,300x250,DISPLAY,all traffic,240684,0,42495,0.18,0.11,4.67
Combined,2016-06-17,347712,Gravitytales_300_ATF,300x250,DISPLAY,all traffic,3431,0,547,0.16,0.31,0.17
